username,repo_name,stars,repo_url
Genymobile,scrcpy,71000,https://github.com/Genymobile/scrcpy
neovim,neovim,58200,https://github.com/neovim/neovim
git,git,43700,https://github.com/git/git
obsproject,obs-studio,42000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,40700,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,32400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,32000,https://github.com/FFmpeg/FFmpeg
vim,vim,28600,https://github.com/vim/vim
curl,curl,26800,https://github.com/curl/curl
huihut,interview,26000,https://github.com/huihut/interview
ggreer,the_silver_searcher,24200,https://github.com/ggreer/the_silver_searcher
pbatard,rufus,20200,https://github.com/pbatard/rufus
mpv-player,mpv,20100,https://github.com/mpv-player/mpv
ruby,ruby,19500,https://github.com/ruby/ruby
ossrs,srs,19300,https://github.com/ossrs/srs
google,flatbuffers,18800,https://github.com/google/flatbuffers
oracle,graal,17500,https://github.com/oracle/graal
radareorg,radare2,16900,https://github.com/radareorg/radare2
microsoft,vcpkg,16800,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,16200,https://github.com/kovidgoyal/kitty
